Mode,Category,Subcategory,Note,Income/Expense,Amount(Pounds),date
Saving Bank account 1,Food,Milk,Half lit  milk,Expense,0.2944,
Saving Bank account 1,Food,Eggs,4 eggs,Expense,0.2024,
Saving Bank account 1,Food,Milk,Half lit  milk,Expense,0.2944,
Saving Bank account 1,Food,beverage,Thumbs up 250ml,Expense,0.184,
Saving Bank account 1,Food,Water,5 litres can,Expense,0.644,
Cash,Food,flour mill,Gehu 3 kg Rs21 + bajari 1kg Rs 7 + dal 1.5 kg Rs15,Expense,0.3956,
Saving Bank account 1,Food,Grocery,potato 1kg,Expense,0.322,
Saving Bank account 1,Household,Hardware,Pakad,Expense,2.208,
Saving Bank account 1,Household,Hardware,Umbrella,Expense,4.968,
Cash,Other,,Hari oil depo coupon,Income,0.22999999999999998,
Cash,Food,Grocery,onion 2.5 kg,Expense,0.506,
Cash,Transportation,auto,2 Place 0 to Current Residence,Expense,0.276,
Saving Bank account 1,Apparel,Laundry,9 clothes ironing,Expense,0.5796,
Saving Bank account 1,Food,beverage,Lemon tea,Expense,0.552,
Credit Card,Food,Lunch,1 dal makhani rice(200)+ 1 chicken tikka rice(220)+chocolate pastry (120),Expense,4.968,
Saving Bank account 1,Transportation,Train,2 Place 0 to TB returns,Expense,0.368,
Saving Bank account 1,Food,snacks,Gupta bhel,Expense,0.22999999999999998,
Saving Bank account 1,Food,Milk,Half lit  milk,Expense,0.2944,
Saving Bank account 1,Food,Ice cream,chocobar,Expense,0.138,
Saving Bank account 1,Gpay Reward,,reward Gpay,Income,0.0552,2024-07-12
Saving Bank account 1,Equity Mutual Fund B,,,Transfer-Out,920.0,2024-07-12
Saving Bank account 1,Gift,,farewell contribution,Expense,4.6,2024-07-12
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,2024-07-12
Saving Bank account 1,Food,Ice cream,chocobar,Expense,0.138,2024-07-11
Saving Bank account 1,Education,Stationary,Black Ball pen,Expense,0.092,2024-07-11
Saving Bank account 1,Family,Pocket money,,Expense,46.0,2024-07-11
Saving Bank account 1,Other,,Gift from inlaws,Income,184.0,2024-07-11
Cash,Family,Pocket money,,Expense,13.799999999999999,2024-07-11
Saving Bank account 1,Food,Rajgira ladu,2 packets,Expense,0.45999999999999996,2024-07-10
Saving Bank account 1,Equity Mutual Fund F,,,Transfer-Out,9.2,2024-07-10
Credit Card,Household,Kirana,,Expense,26.8916,2024-07-09
Saving Bank account 1,Food,beverage,sugarcane juice,Expense,0.184,2024-07-09
Saving Bank account 1,Food,snacks,Vadapav,Expense,0.184,2024-07-09
Saving Bank account 1,Transportation,Bus,2 Place 3m to Mumbai vidyapeeth,Expense,0.1104,2024-07-09
Saving Bank account 1,Transportation,Train,2 Place 0 to Place 3 returns,Expense,0.736,2024-07-09
Saving Bank account 1,Transportation,auto,2 Current Residence to Place 0,Expense,0.276,2024-07-09
Saving Bank account 1,Food,Grocery,Pizza base packet - Patil dairy,Expense,0.276,2024-07-08
Saving Bank account 1,Food,Eggs,4 eggs,Expense,0.2392,2024-07-08
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,2024-07-08
Saving Bank account 1,Equity Mutual Fund E,,,Transfer-Out,9.2,2024-07-07
Saving Bank account 1,Equity Mutual Fund E,,Lumpsum,Transfer-Out,460.0,2024-07-06
Saving Bank account 1,Food,Dinner,Paneer mutter Rs.90+ 5 chapati Rs.25,Expense,1.058,2024-07-05
Saving Bank account 1,Food,Grocery,2 Kg Onion 30/kg + 1 kg Potato 30/kg + Parle Biscuit Rs 10,Expense,0.9199999999999999,2024-07-05
Saving Bank account 1,Food,Dinner,veg fried rice 1 full,Expense,1.656,2024-07-05
Saving Bank account 1,Equity Mutual Fund A,,Lumpsum,Transfer-Out,460.0,2024-07-05
Saving Bank account 1,Equity Mutual Fund F,,Lumpsum,Transfer-Out,460.0,2024-07-05
Saving Bank account 1,Food,Lunch,Catering Service (1 bhaji 30 + 3 chapti 15),Expense,0.414,2024-07-05
Saving Bank account 1,Equity Mutual Fund A,,,Transfer-Out,9.2,2024-07-05
Saving Bank account 1,Food,Grocery,Dalich peeth pav kg,Expense,0.22999999999999998,2024-07-04
Saving Bank account 1,subscription,Edtech Course,,Expense,24.84,2024-07-04
Saving Bank account 1,Transportation,auto,Place 1 bridge to Current Residence 2 seats,Expense,0.552,2024-07-04
Saving Bank account 1,Food,Bread,,Expense,0.322,2024-07-04
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,2024-07-04
Saving Bank account 1,Other,,Devi Temple,Expense,0.046,2024-07-03
Saving Bank account 1,subscription,Newspaper,,Expense,1.564,2024-07-03
Saving Bank account 1,Food,Ice cream,7 mava kulfie,Expense,1.288,2024-07-02
Saving Bank account 1,Saving Bank account 2,,,Transfer-Out,0.9199999999999999,2024-07-01
Saving Bank account 1,Transportation,Travels,2 Place 2 to Place 1 - Shree Sharma Travels,Expense,15.7412,2024-07-01
Saving Bank account 1,Recurring Deposit,,,Transfer-Out,9.2,2024-07-01
Saving Bank account 1,Recurring Deposit,,,Transfer-Out,9.2,2024-07-01
Saving Bank account 1,Money transfer,Home,,Expense,92.0,2024-07-01
Saving Bank account 1,Public Provident Fund,,,Transfer-Out,92.0,2024-07-01
Saving Bank account 1,Gift,,Forrest essential perfume,Expense,44.16,
Saving Bank account 1,Interest,,interest paid,Income,8.004,
Saving Bank account 1,Salary,,From workplace ,Income,524.0044,
Saving Bank account 1,Beauty,grooming,Shaving,Expense,0.552,
Cash,Transportation,auto,Place 2 station to hospital 2 seat,Expense,0.45999999999999996,
Cash,Transportation,Train,2 Place 0 to tilaknagar single side,Expense,0.276,
Cash,Transportation,auto,2 Current Residence to Place 0,Expense,0.276,
Saving Bank account 1,Food,Lunch,Chicken lollypop 4 pcs,Expense,1.7158,
Saving Bank account 1,Food,Grocery,5rs mirchi + crack-jack,Expense,0.138,
Saving Bank account 1,Family,Pocket money,,Expense,13.799999999999999,
Cash,maid,,House Cleaning + washing utensils,Expense,18.4,
Saving Bank account 1,Recurring Deposit,,New RD opened for 3 years,Transfer-Out,9.2,
Saving Bank account 1,Fixed Deposit,,New FD opened for 3 years,Transfer-Out,1840.0,
Cash,Health,Medicine,Cough-sills 4 pcs,Expense,0.1104,
Saving Bank account 1,Food,snacks,2 kachori,Expense,0.2208,
Saving Bank account 1,Food,Grocery,Dahi 2 packets,Expense,0.184,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,
Cash,Transportation,Train,Place 0 to WS return,Expense,0.092,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,
Saving Bank account 1,Food,Grocery,Shengdane pav kg,Expense,0.322,
Saving Bank account 1,Other,,Credit Card fee,Expense,5.428,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,
Saving Bank account 1,Gift,,Forrest essential after shave,Expense,14.674,
Saving Bank account 1,Food,Eating out,Taco Bell veg combo,Expense,2.4012,
Cash,Transportation,train,2 Place 0 to WS returns,Expense,0.184,
Cash,Transportation,auto,2 Current Residence to Place 0,Expense,0.276,
Saving Bank account 1,Gift,,Cupcake mould,Expense,2.3,
Saving Bank account 1,Food,Grocery,Shev bhaji sev pav kg,Expense,0.552,
Cash,Food,flour mill,M D sure 3kg atta,Expense,1.2972,
Saving Bank account 1,Food,Grocery,Amul malai paneer pav kg,Expense,0.736,
Saving Bank account 1,Food,breakfast,Bread,Expense,0.1656,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,
Cash,Transportation,Bus,H to kala circle,Expense,0.1104,
Cash,Transportation,Bus,Kala circle to H,Expense,0.138,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,
Saving Bank account 1,Gift,,Jeff kellar's winning attitude,Expense,1.2604,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,
Saving Bank account 1,Other,,Courier,Expense,0.45999999999999996,
Saving Bank account 1,Education,Stationary,Print outs 3 + Xerox 16 + envelope 10,Expense,0.2668,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,
Saving Bank account 1,Beauty,grooming,hair cut,Expense,0.9199999999999999,2024-06-11
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,2024-06-11
Saving Bank account 1,Health,Medicine,Covaxin booster dose,Expense,3.5512,2024-06-10
Saving Bank account 1,Transportation,train,2 Kushinagar express (LTT to Place 2),Expense,4.6091999999999995,2024-06-10
Saving Bank account 1,subscription,Newspaper,TOI,Expense,1.564,2024-06-10
Saving Bank account 1,Recurring Deposit,,,Transfer-Out,9.2,2024-06-10
Saving Bank account 1,Equity Mutual Fund F,,,Transfer-Out,9.2,2024-06-10
Cash,Transportation,auto,2 Place 0 to Current Residence,Expense,0.276,2024-06-08
Cash,Transportation,auto,2 Current Residence to Place 0,Expense,0.276,2024-06-08
Cash,Culture,Movie,2 tickets - Cinepolis 4DX 3D,Expense,6.992,2024-06-08
Saving Bank account 1,Food,breakfast,Bread,Expense,0.322,2024-06-08
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,2024-06-08
Saving Bank account 1,Food,Eggs,6 pcs,Expense,0.322,2024-06-08
Cash,Household,Kitchen,Sanjori mould,Expense,0.2392,2024-06-07
Saving Bank account 1,Equity Mutual Fund E,,,Transfer-Out,9.2,2024-06-07
Cash,Education,Stationary,Print out,Expense,0.0276,2024-06-06
Cash,Food,snacks,2 Veg puff,Expense,0.368,2024-06-06
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,2024-06-06
Cash,Food,Dinner,Chicken Biryani 120+ dal rice 60,Expense,1.656,2024-06-05
Cash,Food,chocolate,2 Cadbury dairy milk,Expense,0.184,2024-06-05
Cash,Health,Medicine,3 Sinarest,Expense,0.1656,2024-06-05
Saving Bank account 1,Health,Medicine,Sofy antibacterial,Expense,1.748,2024-06-05
Saving Bank account 1,Family,Pocket money,,Expense,23.0,2024-06-05
Saving Bank account 1,Recurring Deposit,,,Transfer-Out,9.2,2024-06-05
Saving Bank account 1,Equity Mutual Fund A,,,Transfer-Out,9.2,2024-06-05
Saving Bank account 1,Food,vegetables,Pav kg Simla mirch 20 + Hari mirch 5,Expense,0.22999999999999998,2024-06-04
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,2024-06-04
Saving Bank account 1,Food,beverage,sugarcane juice,Expense,0.184,2024-06-03
Saving Bank account 1,Household,Kirana,Supermart,Expense,2.4564,2024-06-03
Saving Bank account 1,Food,Lunch,Non veg overloaded pizza,Expense,2.23514,2024-06-03
Saving Bank account 1,subscription,Edtech Course,,Expense,24.840919999999997,2024-06-03
Saving Bank account 1,Food,snacks,Vadapav,Expense,0.184,2024-06-02
Saving Bank account 1,Food,flour mill,M D sure 3kg atta,Expense,1.2972,2024-06-02
Saving Bank account 1,Food,snacks,2 kachori,Expense,0.2208,2024-06-01
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.598,2024-06-01
Saving Bank account 1,Saving Bank account 2,,,Transfer-Out,0.9199999999999999,2024-06-01
Saving Bank account 1,Public Provident Fund,,,Transfer-Out,92.0,2024-06-01
Cash,maid,,,Expense,9.2,2024-06-01
Saving Bank account 1,Money transfer,Home,,Expense,92.0,2024-06-01
Saving Bank account 1,Apparel,Clothing,undergarments pair of Jockey,Expense,6.026,
Saving Bank account 1,Salary,,From workplace ,Income,524.124,
Saving Bank account 1,Food,Dinner,5 chapati,Expense,0.22999999999999998,
Cash,Transportation,auto,2 Place 0 to Current Residence,Expense,0.276,
Cash,Food,beverage,Slice + Pepsi,Expense,0.368,
Cash,Food,Lunch,2 veg Frankie,Expense,1.104,
Cash,Household,Kitchen,Crockery,Expense,2.53,
Saving Bank account 1,Food,Tea,2 tea,Expense,0.31279999999999997,
Cash,Transportation,Train,2 Place 0 to Place P return,Expense,0.736,
Cash,Transportation,auto,2 Current Residence to Place 0,Expense,0.276,
Saving Bank account 1,Food,Grocery,Half kg potato + half kg banana,Expense,0.322,
Cash,Education,Stationary,Xerox,Expense,0.276,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,
Saving Bank account 1,Household,Kirana,,Expense,9.1632,
Saving Bank account 1,Food,snacks,2 kachori,Expense,0.2208,
Cash,Food,vegetables,,Expense,0.414,
Saving Bank account 1,Food,Grocery,Mango 1 kg,Expense,1.288,
Cash,Food,Grocery,,Expense,0.276,
Saving Bank account 1,Food,vegetables,,Expense,0.552,
Saving Bank account 1,Food,breakfast,Medu vada 1 plate + dal vada 1,Expense,0.644,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,
Saving Bank account 1,Education,Stationary,Print outs+ Xerox,Expense,0.184,
Saving Bank account 1,Food,vegetables,Pav kg tomato,Expense,0.184,
Cash,Food,snacks,Ragda Puri,Expense,0.276,
Cash,Transportation,Train,Place 0 to Vikhroli single,Expense,0.138,
Saving Bank account 1,subscription,Cable TV,,Expense,2.4012,
Cash,Food,snacks,Samosa pav @ kurla,Expense,0.138,
Cash,Transportation,Train,Place 0 to Vikhroli return,Expense,0.276,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,
Saving Bank account 1,Food,snacks,Gupta bhel,Expense,0.22999999999999998,
Cash,Household,Kirana,Rasna orange,Expense,0.4232,
Saving Bank account 1,Education,Stationary,White board pen 25 + duster 50,Expense,0.69,
Saving Bank account 1,Food,flour mill,M D sure 2kg atta,Expense,0.8096,
Saving Bank account 1,Household,Appliances,3 pin Holder,Expense,0.45999999999999996,
Saving Bank account 1,Food,beverage,Coke 750ml,Expense,0.368,
Saving Bank account 1,Food,beverage,sugarcane juice,Expense,0.138,
Saving Bank account 1,Life Insurance,,,Transfer-Out,101.5956,2024-05-22
Cash,Transportation,Train,2 Place 0 to Place 4 return,Expense,0.276,
Cash,Transportation,auto,2 Current Residence to Place 0,Expense,0.276,
Cash,Food,flour mill,3 kg ( 2kg bajari Rs 7 each + 1kg gahu & maka mix Rs.10),Expense,0.2208,
Cash,Transportation,auto,Decathlon to station,Expense,0.184,
Saving Bank account 1,subscription,Cable TV,Monthly recharge,Expense,2.4012,2024-05-21
Saving Bank account 1,Food,Dinner,pav bhaji + 5 pav extra,Expense,2.0148,
Cash,Food,Tea,,Expense,0.092,
Saving Bank account 1,Food,vegetables,,Expense,0.552,
Saving Bank account 1,Food,Lunch,Bhai poli,Expense,0.414,
Saving Bank account 1,Food,breakfast,Poha,Expense,0.22999999999999998,
Cash,Beauty,grooming,Shaving,Expense,0.45999999999999996,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,
Cash,Food,Tea,,Expense,0.092,
Cash,Food,Tea,,Expense,0.046,
Saving Bank account 1,Food,Ice cream,Vanila family pack,Expense,0.9107999999999999,
Saving Bank account 1,Food,Lunch,Full egg fried rice 100 + Manchurian dry 100,Expense,1.932,
Cash,Food,Tea,,Expense,0.092,
Cash,Food,Tea,,Expense,0.092,
Saving Bank account 1,Beauty,grooming,Razor Blade,Expense,2.2723999999999998,
Saving Bank account 1,Food,Lunch,Non veg combo meal,Expense,2.1528,
Cash,Food,Tea,,Expense,0.046,
Saving Bank account 1,subscription,Newspaper,March 210 + April 170,Expense,3.496,
Cash,Food,Dinner,Veg cheese grill sandwich,Expense,0.9199999999999999,
Saving Bank account 1,Food,breakfast,Poha 25+ tea 10,Expense,0.322,
Saving Bank account 1,Household,Kirana,Shev bhaji sev,Expense,0.45999999999999996,
Saving Bank account 1,Food,Lunch,Non veg overloaded pizza,Expense,2.2264,
Saving Bank account 1,Food,Dinner,Non veg overloaded pizza,Expense,2.2264,
Cash,Food,Tea,,Expense,0.092,
Saving Bank account 1,Food,Lunch,4 chapati,Expense,0.184,
Cash,Food,Tea,,Expense,0.046,
Saving Bank account 1,Food,breakfast,Medu vada 1 plate,Expense,0.322,
Cash,Food,Tea,,Expense,0.092,2024-05-12
Saving Bank account 1,Food,Lunch,4 chapati,Expense,0.184,2024-05-12
Cash,Food,Tea,,Expense,0.092,2024-05-12
Saving Bank account 1,Family,Pocket money,,Expense,46.0,2024-05-12
Saving Bank account 1,Food,Lunch,Full egg fried rice 100 + chicken lollypop 4 pcs 130,Expense,2.1436,2024-05-11
Saving Bank account 1,subscription,Tata Sky,,Expense,2.116,2024-05-11
Cash,Food,Tea,,Expense,0.092,2024-05-11
Saving Bank account 1,Beauty,grooming,Body hair removal cream,Expense,2.9255999999999998,2024-05-11
Saving Bank account 1,Education,Stationary,Courier,Expense,0.9199999999999999,2024-05-10
Saving Bank account 1,Education,Stationary,Xerox,Expense,0.1104,2024-05-10
Saving Bank account 1,Education,Stationary,2 envelope,Expense,0.2208,2024-05-10
Saving Bank account 1,Food,Dinner,4 chapati,Expense,0.184,2024-05-10
Cash,Food,snacks,Sweet bread cake 85 + veg puff 2,Expense,1.15,2024-05-10
Saving Bank account 1,Food,Lunch,Dudhi 30 + 3 chapati,Expense,0.414,2024-05-10
Saving Bank account 1,Food,breakfast,Tea + 2 kachori,Expense,0.31279999999999997,2024-05-10
Saving Bank account 1,Recurring Deposit,,,Transfer-Out,9.2,2024-05-10
Saving Bank account 1,Equity Mutual Fund F,,,Transfer-Out,9.2,2024-05-10
Cash,Food,Ice cream,Cornetto butterscotch,Expense,0.368,2024-05-09
Cash,Food,Tea,,Expense,0.092,2024-05-09
Saving Bank account 1,Food,Dinner,4 chapati,Expense,0.184,2024-05-09
Saving Bank account 1,Food,Lunch,Chana masala 30 + 3 chapati,Expense,0.414,2024-05-09
Saving Bank account 1,Food,Dinner,Egg fry + chicken lollypop,Expense,1.7571999999999999,2024-05-08
Saving Bank account 1,Food,breakfast,Poha 25+ tea 10,Expense,0.322,2024-05-08
Saving Bank account 1,Food,Dinner,Aloo mutter sabji,Expense,0.276,2024-05-07
Saving Bank account 1,Food,snacks,Chicken manchow soup,Expense,0.9016,2024-05-07
Saving Bank account 1,subscription,Mobile Service Provider,No daily limit plan ( 25 GB 30 days),Expense,2.7232,2024-05-07
Saving Bank account 1,Food,breakfast,Double omlet pav + tea,Expense,0.414,2024-05-07
Saving Bank account 1,Equity Mutual Fund E,,,Transfer-Out,9.2,2024-05-07
Cash,Food,Dinner,5 chapati,Expense,0.22999999999999998,2024-05-06
Cash,Food,snacks,Veg puff,Expense,0.184,2024-05-06
Cash,Food,Tea,,Expense,0.092,2024-05-06
Saving Bank account 1,Food,Lunch,Paneer masala + hara bhara kabab 6 pcs,Expense,3.036,2024-05-06
Saving Bank account 1,Food,Dinner,Bhendi masala 30 + 3 chapati,Expense,0.414,2024-05-05
Cash,Food,beverage,sugarcane juice,Expense,0.184,2024-05-05
Saving Bank account 1,Food,breakfast,Bread,Expense,0.3036,2024-05-05
Saving Bank account 1,Recurring Deposit,,,Transfer-Out,9.2,2024-05-05
Saving Bank account 1,Equity Mutual Fund A,,,Transfer-Out,9.2,2024-05-05
Saving Bank account 1,subscription,Mobile Service Provider,No daily limit plan ( 25 GB 30 days),Expense,2.7232,2024-05-04
Cash,Transportation,auto,Place 0 to Current Residence,Expense,0.138,2024-05-03
Cash,Transportation,Train,40 Place 0 to Place 3 return+ 20 single,Expense,0.552,2024-05-03
Cash,Transportation,auto,2 Current Residence to Place 0,Expense,0.276,2024-05-03
Cash,Transportation,Train,Place 0 to Place 6 return,Expense,0.092,2024-05-03
Saving Bank account 1,Household,Kitchen,Gas stove elica 3 burner,Expense,81.19,2024-05-03
Saving Bank account 1,Gift,,Decathlon shoes,Expense,16.6612,2024-05-03
Cash,Transportation,train,Place 3 to Place 2 sevagram,Expense,10.12,2024-05-03
Saving Bank account 1,subscription,Edtech Course,,Expense,24.840919999999997,2024-05-03
Saving Bank account 1,Health,Medicine,Q-dee strip,Expense,0.368,2024-05-02
Saving Bank account 1,Apparel,Footwear,Puma Troy mu running shoes,Expense,22.2732,2024-05-02
Saving Bank account 1,Food,Tea,2 cups,Expense,0.184,2024-05-02
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,2024-05-02
Cash,maid,,,Expense,9.2,2024-05-01
Saving Bank account 1,Food,Dinner,2 Fried rice,Expense,2.9532,2024-05-01
Cash,Transportation,auto,2 Place 0 to Current Residence,Expense,0.276,2024-05-01
Cash,Transportation,Train,2 Place 0 to WS single,Expense,0.092,2024-05-01
Cash,Transportation,auto,2 Current Residence to Place 0,Expense,0.276,2024-05-01
Saving Bank account 1,Apparel,Clothing,Shorts for Family,Expense,3.6708,2024-05-01
Saving Bank account 1,Apparel,Clothing,H&M Tshirt for Family,Expense,5.5108,2024-05-01
Saving Bank account 1,Other,,To savings account,Expense,0.9199999999999999,2024-05-01
Saving Bank account 1,Food,flour mill,M D sure 1kg atta,Expense,0.4324,2024-05-01
Saving Bank account 1,Public Provident Fund,,,Transfer-Out,92.0,2024-05-01
Saving Bank account 1,Money transfer,,,Expense,92.0,2024-05-01
Saving Bank account 1,Food,Ice cream,chocobar,Expense,0.092,
Saving Bank account 1,Salary,,From workplace ,Income,524.0044,
Cash,Transportation,auto,2 Place 0 to Current Residence,Expense,0.276,
Cash,Food,fruits,6 bananas,Expense,0.22999999999999998,
Saving Bank account 1,Food,Dinner,Chicken lollypop 8 pcs,Expense,2.0332,
Cash,Food,snacks,2 Pani Puri+ 1 samosa chat,Expense,1.012,
Saving Bank account 1,Food,Grocery,Chota bread,Expense,0.15639999999999998,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,
Saving Bank account 1,Food,Ice cream,Cup of butterscotch (20) + chocobar (10),Expense,0.276,
Saving Bank account 1,subscription,Netflix,1 month subscription,Expense,1.3708,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,
Saving Bank account 1,Gift,,farewell contribution,Expense,3.542,
Saving Bank account 1,Food,snacks,2 kachori,Expense,0.2208,
Cash,Transportation,auto,Place 6 station to college,Expense,0.092,
Cash,Transportation,Train,2 Place 0 to Place 6 return,Expense,0.184,
Cash,Transportation,auto,2 Current Residence to Place 0,Expense,0.276,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,
Saving Bank account 1,Other,,Family's Wristwatch repair,Expense,1.564,
Saving Bank account 1,Food,vegetables,Ladyfinger pav kg,Expense,0.138,
Saving Bank account 1,Food,snacks,2 Veg puff,Expense,0.368,
Saving Bank account 1,Food,beverage,sugarcane juice,Expense,0.184,
Saving Bank account 1,Transportation,Train,Place 0 to Vikhroli return,Expense,0.276,
Saving Bank account 1,Food,Grocery,milk 1 lit (64) + paneer (75) + bread (30) + 6 eggs (36),Expense,1.886,
Saving Bank account 1,Health,Medicine,Q-dee strip,Expense,0.368,
Saving Bank account 1,subscription,Cable TV,Monthly recharge,Expense,2.4012,2024-04-21
Saving Bank account 1,Household,Kirana,Smart point,Expense,5.719455999999999,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,
Saving Bank account 1,Food,Ice cream,Raspberry dolly,Expense,0.184,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,
Saving Bank account 1,Food,Dinner,"The X restaurant, Place 1",Expense,9.8992,
Saving Bank account 1,Family,clothes,H&M clothes,Expense,13.7724,
Saving Bank account 1,subscription,Tata Sky,,Expense,1.7664,
Saving Bank account 1,Family,Pocket money,,Expense,46.0,
Saving Bank account 1,Food,breakfast,8 pcs meduvada + 4 pcs dal vada + sambar + chatni,Expense,1.15,2024-04-12
Saving Bank account 1,Food,beverage,sugarcane juice,Expense,0.184,2024-04-10
Saving Bank account 1,Recurring Deposit,,,Transfer-Out,9.2,2024-04-10
Saving Bank account 1,Equity Mutual Fund F,,,Transfer-Out,9.2,2024-04-10
Saving Bank account 1,Equity Mutual Fund E,,,Transfer-Out,9.2,2024-04-07
Saving Bank account 1,Transportation,train,Place 6 to Place 2 - 3Tier AC cancellation charges,Expense,1.96512,2024-04-06
Saving Bank account 1,Recurring Deposit,,,Transfer-Out,9.2,2024-04-05
Saving Bank account 1,Equity Mutual Fund A,,,Transfer-Out,9.2,2024-04-05
Saving Bank account 1,Food,Ice cream,chocobar (25)+ chocolate cup (20),Expense,0.414,2024-04-04
Saving Bank account 1,Food,snacks,1 chicken shawarma,Expense,0.552,2024-04-03
Saving Bank account 1,subscription,Edtech Course,,Expense,24.840919999999997,2024-04-03
Cash,Food,snacks,egg roll,Expense,0.368,2024-04-01
Cash,Food,Grocery,Half kg potato,Expense,0.092,2024-04-01
Cash,Food,Grocery,Sambar masala (32)+ 2 milkybar,Expense,0.4784,2024-04-01
Saving Bank account 1,Public Provident Fund,,,Transfer-Out,92.0,2024-04-01
Saving Bank account 1,Money transfer,,,Expense,92.0,2024-04-01
Saving Bank account 1,Salary,,From workplace ,Income,516.1384,
Cash,Transportation,Train,2 Place 0 to dadar return,Expense,0.552,
Cash,Transportation,Taxi,siddhivinayak to shiv sena bhavan,Expense,0.276,
Cash,Transportation,Taxi,Dadar West to siddhivinayak,Expense,0.276,
Cash,Food,Lunch,( pav bhaji + 2 extra pav + sabudana khichdi + kothimbir vada + masala bhat + piyush ),Expense,4.554,
Cash,Transportation,auto,Place 4 station to Place 4 plaza,Expense,0.138,
Cash,Household,Hardware,Laptop repair (servicing+ 2gb ram upgrade + fan replacement + antivirus),Expense,23.0,
Cash,Transportation,auto,Place 0 to Current Residence,Expense,0.138,
Cash,Transportation,auto,2 Current Residence to Place 0,Expense,0.276,
Saving Bank account 1,Interest,,interest paid,Income,4.6735999999999995,
Saving Bank account 1,Household,Kirana,,Expense,2.254,
Cash,Food,beverage,Soda water,Expense,0.1104,
Saving Bank account 1,Household,Appliances,USB cord,Expense,2.392,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.552,
Saving Bank account 1,Household,Kirana,Smart,Expense,7.2312,
Saving Bank account 1,Food,Milk,milk 1 lit,Expense,0.552,
Cash,Food,Grocery,Dahi 2 packets,Expense,0.184,
Saving Bank account 1,Gpay Reward,,reward Gpay,Income,0.0552,
Saving Bank account 1,Health,Medicine,Tablet,Expense,0.2668,
Saving Bank account 1,Health,Medicine,Jel,Expense,1.012,
Saving Bank account 1,Transportation,Travels,Place 2 to Place 1,Expense,8.28,
Cash,Health,Hospital,Doctor Fees,Expense,1.38,
Cash,Food,Milk,milk 1 lit,Expense,0.552,
Saving Bank account 1,Family,Pocket money,,Expense,27.599999999999998,
Saving Bank account 1,Food,beverage,3 sugarcane juice,Expense,0.552,
Saving Bank account 1,Other,,Fifa 21 pc,Expense,13.790799999999999,
Cash,Transportation,auto,2 Place 0 to Current Residence,Expense,0.184,
Cash,Transportation,auto,,Expense,0.45999999999999996,
Cash,Household,Furniture,Mattress advance,Expense,4.6,
Cash,Transportation,auto,within city,Expense,0.3036,
Cash,Transportation,Bus,2 Place 6 to Place 7,Expense,0.1656,
Cash,Transportation,Train,2 Place 0 to WS returns,Expense,0.184,
Cash,Transportation,auto,2 Current Residence to Place 0,Expense,0.276,
Saving Bank account 1,Transportation,Travels,Place 6 to Place 2,Expense,5.52,
Saving Bank account 1,Household,Appliances,2 Spike guard,Expense,4.14,
Saving Bank account 1,subscription,Mobile Service Provider,Mobile Service Provider freedom pack,Expense,2.7232,
Cash,Food,snacks,2 samosa (32) + 25 Pani Puri,Expense,0.5244,
Saving Bank account 1,Food,Grocery,,Expense,1.472,
Cash,Food,fruits,Grapes + apple + guava,Expense,2.852,
Cash,Other,,scrap,Income,0.644,
Saving Bank account 1,subscription,Wifi Internet Service,6 months ( 30mb UL plan + 1 month free),Expense,25.944,
Cash,Household,Kitchen,drainage powder,Expense,0.45999999999999996,
Cash,Household,Kirana,2 toast+ 2 parle g + Marie gold,Expense,1.0211999999999999,
Cash,Food,Ice cream,2 softy,Expense,0.368,
Cash,Household,Hardware,2 bath stool,Expense,2.76,
Cash,Food,Grocery,,Expense,0.9199999999999999,
